county_type,state,county,violent_crime,murder_and_nonnegligent_manslaughter,forcible_rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,county_state
Nonmetropolitan,missouri,stone,80,2,5,0,73,483,149,310,24,2,stone_missouri
Nonmetropolitan,missouri,sullivan,10,0,0,0,10,61,31,27,3,0,sullivan_missouri
Nonmetropolitan,missouri,taney,117,0,9,4,104,559,164,351,44,0,taney_missouri
Nonmetropolitan,missouri,texas,6,0,2,0,4,204,87,102,15,4,texas_missouri
Nonmetropolitan,missouri,vernon,33,1,2,0,30,220,69,132,19,1,vernon_missouri
Metropolitan,missouri,warren,67,1,5,2,59,240,82,145,13,3,warren_missouri
Metropolitan,missouri,washington,35,0,6,2,27,360,105,217,38,2,washington_missouri
Nonmetropolitan,missouri,wayne,10,0,1,0,9,84,32,48,4,1,wayne_missouri
Metropolitan,missouri,webster,12,0,0,1,11,315,144,135,36,3,webster_missouri
Nonmetropolitan,missouri,worth,2,0,0,0,2,37,15,19,3,0,worth_missouri
Nonmetropolitan,missouri,wright,16,0,5,0,11,85,40,40,5,0,wright_missouri
Nonmetropolitan,montana,beaverhead,7,0,0,0,7,63,15,44,4,1,beaverhead_montana
Nonmetropolitan,montana,big horn,22,3,2,0,17,134,8,118,8,0,big horn_montana
Nonmetropolitan,montana,blaine,13,0,0,0,13,15,1,12,2,0,blaine_montana
Nonmetropolitan,montana,broadwater,17,0,2,0,15,56,8,42,6,0,broadwater_montana
Metropolitan,montana,carbon,15,0,0,0,15,43,11,30,2,0,carbon_montana
Nonmetropolitan,montana,carter,0,0,0,0,0,1,0,1,0,0,carter_montana
Metropolitan,montana,cascade,28,0,3,0,25,248,41,201,6,4,cascade_montana
Nonmetropolitan,montana,chouteau,6,0,0,0,6,20,3,16,1,0,chouteau_montana
Nonmetropolitan,montana,custer,1,0,0,0,1,39,6,30,3,0,custer_montana
Nonmetropolitan,montana,daniels,3,0,0,0,3,0,0,0,0,0,daniels_montana
Nonmetropolitan,montana,dawson,9,0,2,0,7,66,9,54,3,1,dawson_montana
Nonmetropolitan,montana,deer lodge,25,0,4,1,20,152,15,130,7,2,deer lodge_montana
Nonmetropolitan,montana,fallon,0,0,0,0,0,12,2,9,1,0,fallon_montana
Nonmetropolitan,montana,fergus,8,0,5,0,3,52,9,41,2,0,fergus_montana
Nonmetropolitan,montana,gallatin,44,0,17,2,25,335,39,273,23,1,gallatin_montana
Nonmetropolitan,montana,garfield,0,0,0,0,0,0,0,0,0,0,garfield_montana
Nonmetropolitan,montana,glacier,20,1,0,0,19,35,6,25,4,0,glacier_montana
Nonmetropolitan,montana,golden valley,1,0,0,0,1,0,0,0,0,0,golden valley_montana
Nonmetropolitan,montana,granite,1,0,0,0,1,54,4,50,0,0,granite_montana
Nonmetropolitan,montana,hill,19,0,2,0,17,131,19,102,10,1,hill_montana
Nonmetropolitan,montana,jefferson,13,0,1,0,12,36,6,28,2,1,jefferson_montana
Nonmetropolitan,montana,judith basin,0,0,0,0,0,1,0,1,0,0,judith basin_montana
Nonmetropolitan,montana,lake,46,0,10,1,35,294,74,176,44,3,lake_montana
Nonmetropolitan,montana,lewis and clark,80,2,18,1,59,342,77,239,26,5,lewis and clark_montana
Nonmetropolitan,montana,lincoln,25,1,2,1,21,129,24,98,7,0,lincoln_montana
Nonmetropolitan,montana,madison,6,0,0,0,6,38,6,29,3,0,madison_montana
Nonmetropolitan,montana,mccone,1,0,0,0,1,18,3,14,1,0,mccone_montana
Nonmetropolitan,montana,meagher,6,0,0,0,6,23,5,17,1,0,meagher_montana
Nonmetropolitan,montana,mineral,0,0,0,0,0,1,0,1,0,0,mineral_montana
Metropolitan,montana,missoula,84,1,12,6,65,404,87,288,29,3,missoula_montana
Nonmetropolitan,montana,musselshell,18,0,1,0,17,77,14,61,2,0,musselshell_montana
Nonmetropolitan,montana,park,20,1,2,1,16,54,18,32,4,3,park_montana
Nonmetropolitan,montana,phillips,7,0,1,0,6,60,10,44,6,0,phillips_montana
Nonmetropolitan,montana,pondera,0,0,0,0,0,7,1,5,1,0,pondera_montana
Nonmetropolitan,montana,powell,13,0,0,0,13,87,16,65,6,0,powell_montana
Nonmetropolitan,montana,prairie,1,0,1,0,0,6,1,4,1,0,prairie_montana
Nonmetropolitan,montana,ravalli,46,0,4,0,42,310,34,270,6,2,ravalli_montana
Nonmetropolitan,montana,richland,0,0,0,0,0,32,5,27,0,0,richland_montana
Nonmetropolitan,montana,roosevelt,23,0,2,0,21,52,5,36,11,2,roosevelt_montana
Nonmetropolitan,montana,rosebud,10,0,1,0,9,44,13,29,2,1,rosebud_montana
Nonmetropolitan,montana,sanders,8,0,5,0,3,67,10,50,7,0,sanders_montana
Nonmetropolitan,montana,sheridan,7,0,1,0,6,69,7,50,12,0,sheridan_montana
Nonmetropolitan,montana,silver bow,97,2,10,11,74,1020,149,812,59,12,silver bow_montana
Nonmetropolitan,montana,stillwater,13,0,3,0,10,61,19,38,4,0,stillwater_montana
Nonmetropolitan,montana,sweet grass,5,0,0,0,5,36,4,30,2,0,sweet grass_montana
Nonmetropolitan,montana,teton,7,0,0,0,7,53,7,43,3,0,teton_montana
Nonmetropolitan,montana,toole,25,0,2,0,23,128,15,105,8,2,toole_montana
Nonmetropolitan,montana,valley,8,0,2,0,6,23,5,18,0,0,valley_montana
Nonmetropolitan,montana,wheatland,3,0,0,0,3,2,1,1,0,0,wheatland_montana
Nonmetropolitan,montana,wibaux,0,0,0,0,0,3,0,3,0,0,wibaux_montana
Metropolitan,montana,yellowstone,78,0,4,4,70,610,146,402,62,3,yellowstone_montana
Nonmetropolitan,nebraska,adams,4,0,2,0,2,170,49,110,11,0,adams_nebraska
Nonmetropolitan,nebraska,antelope,1,0,0,0,1,20,4,15,1,0,antelope_nebraska
Nonmetropolitan,nebraska,arthur,0,0,0,0,0,0,0,0,0,0,arthur_nebraska
Nonmetropolitan,nebraska,box butte,0,0,0,0,0,1,0,1,0,0,box butte_nebraska
Nonmetropolitan,nebraska,boyd,0,0,0,0,0,9,7,2,0,0,boyd_nebraska
Nonmetropolitan,nebraska,brown,3,1,0,0,2,25,6,18,1,0,brown_nebraska
Nonmetropolitan,nebraska,buffalo,9,0,4,2,3,140,39,97,4,0,buffalo_nebraska
Nonmetropolitan,nebraska,burt,3,0,0,0,3,46,17,25,4,0,burt_nebraska
Nonmetropolitan,nebraska,butler,2,0,0,0,2,49,12,35,2,0,butler_nebraska
Nonmetropolitan,nebraska,cass,11,1,4,1,5,313,63,208,42,2,cass_nebraska
Nonmetropolitan,nebraska,cedar,3,0,0,0,3,12,0,12,0,0,cedar_nebraska
Nonmetropolitan,nebraska,chase,1,0,0,0,1,23,8,14,1,0,chase_nebraska
Nonmetropolitan,nebraska,cherry,2,0,0,0,2,9,0,9,0,0,cherry_nebraska
Nonmetropolitan,nebraska,cuming,4,0,3,0,1,29,6,17,6,0,cuming_nebraska
Nonmetropolitan,nebraska,custer,2,0,1,1,0,51,19,31,1,0,custer_nebraska
Nonmetropolitan,nebraska,dakota,3,0,0,0,3,61,13,39,9,0,dakota_nebraska
Nonmetropolitan,nebraska,dawes,0,0,0,0,0,21,7,13,1,0,dawes_nebraska
Nonmetropolitan,nebraska,dawson,10,0,6,1,3,74,17,50,7,0,dawson_nebraska
Nonmetropolitan,nebraska,deuel,2,0,0,0,2,16,3,12,1,0,deuel_nebraska
Nonmetropolitan,nebraska,dixon,3,0,2,0,1,71,24,43,4,4,dixon_nebraska
Nonmetropolitan,nebraska,dodge,8,0,1,2,5,155,38,112,5,0,dodge_nebraska
Nonmetropolitan,nebraska,douglas,123,0,8,7,108,1175,298,786,91,0,douglas_nebraska
Nonmetropolitan,nebraska,franklin,1,0,0,0,1,7,2,5,0,0,franklin_nebraska
Nonmetropolitan,nebraska,gage,3,0,0,0,3,136,23,101,12,1,gage_nebraska
Nonmetropolitan,nebraska,hall,4,0,1,0,3,228,59,159,10,0,hall_nebraska
Nonmetropolitan,nebraska,hamilton,5,0,3,0,2,67,18,46,3,2,hamilton_nebraska
Nonmetropolitan,nebraska,hitchcock,5,0,2,1,2,22,12,7,3,0,hitchcock_nebraska
Nonmetropolitan,nebraska,hooker,0,0,0,0,0,0,0,0,0,-1,hooker_nebraska
Nonmetropolitan,nebraska,jefferson,3,0,0,0,3,74,17,52,5,0,jefferson_nebraska
Nonmetropolitan,nebraska,kearney,3,0,2,0,1,49,8,40,1,0,kearney_nebraska
Nonmetropolitan,nebraska,keith,1,0,0,0,1,44,10,28,6,0,keith_nebraska
Nonmetropolitan,nebraska,keya paha,0,0,0,0,0,1,0,1,0,0,keya paha_nebraska
Nonmetropolitan,nebraska,lancaster,9,0,1,0,8,297,78,214,5,2,lancaster_nebraska
Nonmetropolitan,nebraska,lincoln,10,0,5,0,5,107,30,70,7,1,lincoln_nebraska
Nonmetropolitan,nebraska,madison,4,0,3,0,1,83,10,68,5,0,madison_nebraska
Nonmetropolitan,nebraska,morrill,1,0,0,0,1,23,7,14,2,0,morrill_nebraska
Nonmetropolitan,nebraska,nance,1,0,0,0,1,27,8,19,0,0,nance_nebraska
Nonmetropolitan,nebraska,nemaha,0,0,0,0,0,23,5,18,0,0,nemaha_nebraska
Nonmetropolitan,nebraska,nuckolls,1,0,1,0,0,6,2,2,2,0,nuckolls_nebraska
Nonmetropolitan,nebraska,pawnee,0,0,0,0,0,41,14,27,0,0,pawnee_nebraska
Nonmetropolitan,nebraska,phelps,1,0,0,0,1,44,9,33,2,0,phelps_nebraska
Nonmetropolitan,nebraska,pierce,1,0,0,0,1,36,3,32,1,0,pierce_nebraska
Nonmetropolitan,nebraska,platte,8,0,1,2,5,132,29,96,7,1,platte_nebraska
Nonmetropolitan,nebraska,polk,0,0,0,0,0,60,12,45,3,0,polk_nebraska
Nonmetropolitan,nebraska,red willow,1,0,0,0,1,33,14,17,2,0,red willow_nebraska
Nonmetropolitan,nebraska,rock,0,0,0,0,0,12,5,7,0,0,rock_nebraska
Nonmetropolitan,nebraska,saline,1,0,0,0,1,61,27,26,8,0,saline_nebraska
Nonmetropolitan,nebraska,sarpy,25,0,10,6,9,730,115,555,60,0,sarpy_nebraska
Nonmetropolitan,nebraska,saunders,6,2,0,0,4,119,31,75,13,0,saunders_nebraska
Nonmetropolitan,nebraska,scotts bluff,9,0,2,0,7,99,33,59,7,1,scotts bluff_nebraska
Nonmetropolitan,nebraska,sheridan,5,0,0,0,5,55,9,42,4,2,sheridan_nebraska
Nonmetropolitan,nebraska,sherman,0,0,0,0,0,20,1,18,1,0,sherman_nebraska
Nonmetropolitan,nebraska,stanton,7,0,0,0,7,58,8,48,2,0,stanton_nebraska
Nonmetropolitan,nebraska,thayer,3,0,0,0,3,75,20,49,6,0,thayer_nebraska
Nonmetropolitan,nebraska,wayne,0,0,0,0,0,21,7,13,1,0,wayne_nebraska
Nonmetropolitan,nebraska,webster,2,0,0,0,2,39,9,29,1,0,webster_nebraska
Nonmetropolitan,nebraska,york,1,1,0,0,0,52,14,35,3,0,york_nebraska
Nonmetropolitan,nevada,carson city,148,4,0,16,128,1275,316,890,69,7,carson city_nevada
Nonmetropolitan,nevada,churchill,18,0,0,1,17,255,90,152,13,1,churchill_nevada
Nonmetropolitan,nevada,douglas,59,1,3,5,50,742,130,588,24,7,douglas_nevada
Nonmetropolitan,nevada,elko,36,7,4,3,22,40,17,16,7,1,elko_nevada
Nonmetropolitan,nevada,eureka,13,0,3,0,10,31,10,19,2,0,eureka_nevada
Nonmetropolitan,nevada,humboldt,38,0,0,0,38,52,17,29,6,1,humboldt_nevada
Nonmetropolitan,nevada,lincoln,9,1,0,0,8,66,8,55,3,2,lincoln_nevada
Nonmetropolitan,nevada,lyon,84,3,3,7,71,753,245,458,50,7,lyon_nevada
Nonmetropolitan,nevada,storey,19,0,0,1,18,58,22,36,0,0,storey_nevada
Nonmetropolitan,nevada,washoe,189,3,7,10,169,934,333,537,64,9,washoe_nevada
Nonmetropolitan,nevada,white pine,32,1,3,0,28,143,50,82,11,1,white pine_nevada
Nonmetropolitan,new hampshire,carroll,5,0,1,0,4,56,19,35,2,0,carroll_new hampshire
Nonmetropolitan,new hampshire,cheshire,2,0,1,0,1,7,0,6,1,0,cheshire_new hampshire
Nonmetropolitan,new hampshire,merrimack,5,0,3,0,2,16,0,16,0,0,merrimack_new hampshire
Nonmetropolitan,new hampshire,rockingham,9,0,1,0,8,2,0,2,0,1,rockingham_new hampshire
Nonmetropolitan,new jersey,atlantic,0,0,0,0,0,0,0,0,0,0,atlantic_new jersey
Nonmetropolitan,new jersey,bergen,0,0,0,0,0,0,0,0,0,0,bergen_new jersey
Nonmetropolitan,new jersey,burlington,0,0,0,0,0,0,0,0,0,0,burlington_new jersey
Nonmetropolitan,new jersey,camden,0,0,0,0,0,0,0,0,0,0,camden_new jersey
Nonmetropolitan,new jersey,cape may,0,0,0,0,0,0,0,0,0,0,cape may_new jersey
Nonmetropolitan,new jersey,cumberland,0,0,0,0,0,0,0,0,0,0,cumberland_new jersey
Nonmetropolitan,new jersey,essex,0,0,0,0,0,0,0,0,0,0,essex_new jersey
Nonmetropolitan,new jersey,gloucester,0,0,0,0,0,0,0,0,0,0,gloucester_new jersey
Nonmetropolitan,new jersey,hudson,0,0,0,0,0,0,0,0,0,0,hudson_new jersey
Nonmetropolitan,new jersey,hunterdon,0,0,0,0,0,0,0,0,0,0,hunterdon_new jersey
Nonmetropolitan,new jersey,mercer,0,0,0,0,0,0,0,0,0,0,mercer_new jersey
Nonmetropolitan,new jersey,middlesex,0,0,0,0,0,0,0,0,0,0,middlesex_new jersey
Nonmetropolitan,new jersey,monmouth,0,0,0,0,0,0,0,0,0,0,monmouth_new jersey
Nonmetropolitan,new jersey,morris,0,0,0,0,0,0,0,0,0,0,morris_new jersey
Nonmetropolitan,new jersey,ocean,0,0,0,0,0,0,0,0,0,0,ocean_new jersey
Nonmetropolitan,new jersey,passaic,0,0,0,0,0,0,0,0,0,0,passaic_new jersey
Nonmetropolitan,new jersey,salem,0,0,0,0,0,0,0,0,0,0,salem_new jersey
Nonmetropolitan,new jersey,somerset,0,0,0,0,0,0,0,0,0,0,somerset_new jersey
Nonmetropolitan,new jersey,sussex,0,0,0,0,0,0,0,0,0,0,sussex_new jersey
Nonmetropolitan,new jersey,union,0,0,0,0,0,0,0,0,0,0,union_new jersey
Nonmetropolitan,new jersey,warren,0,0,0,0,0,0,0,0,0,0,warren_new jersey
Nonmetropolitan,new mexico,bernalillo,784,4,32,101,647,2426,882,1317,227,68,bernalillo_new mexico
Nonmetropolitan,new mexico,catron,1,0,0,0,1,22,9,11,2,0,catron_new mexico
Nonmetropolitan,new mexico,chaves,64,1,11,3,49,309,109,169,31,2,chaves_new mexico
Nonmetropolitan,new mexico,cibola,101,0,5,1,95,108,53,46,9,9,cibola_new mexico
Nonmetropolitan,new mexico,colfax,2,0,0,0,2,2,0,2,0,0,colfax_new mexico
Nonmetropolitan,new mexico,curry,15,4,4,1,6,193,95,91,7,1,curry_new mexico
Nonmetropolitan,new mexico,dona ana,312,4,39,18,251,1548,608,808,132,6,dona ana_new mexico
Nonmetropolitan,new mexico,eddy,74,1,13,5,55,489,151,317,21,7,eddy_new mexico
Nonmetropolitan,new mexico,guadalupe,11,0,0,1,10,11,5,6,0,0,guadalupe_new mexico
Nonmetropolitan,new mexico,hidalgo,4,1,0,0,3,11,4,5,2,0,hidalgo_new mexico
Nonmetropolitan,new mexico,lea,52,4,6,1,41,450,139,288,23,2,lea_new mexico
Nonmetropolitan,new mexico,lincoln,15,3,1,0,11,116,50,58,8,0,lincoln_new mexico
Nonmetropolitan,new mexico,luna,58,1,1,2,54,208,92,95,21,0,luna_new mexico
Nonmetropolitan,new mexico,mckinley,71,1,8,6,56,300,108,148,44,7,mckinley_new mexico
Nonmetropolitan,new mexico,otero,65,0,7,0,58,339,147,167,25,0,otero_new mexico
Nonmetropolitan,new mexico,quay,2,0,0,0,2,22,6,15,1,1,quay_new mexico
Nonmetropolitan,new mexico,rio arriba,19,2,2,0,15,76,62,13,1,1,rio arriba_new mexico
Nonmetropolitan,new mexico,roosevelt,13,0,4,0,9,101,38,58,5,0,roosevelt_new mexico
Nonmetropolitan,new mexico,san juan,213,2,25,9,177,814,222,540,52,14,san juan_new mexico
Nonmetropolitan,new mexico,sandoval,23,0,0,2,21,92,49,43,0,0,sandoval_new mexico
Nonmetropolitan,new mexico,santa fe,147,2,6,12,127,1120,693,368,59,7,santa fe_new mexico
Nonmetropolitan,new mexico,sierra,12,0,0,0,12,46,9,32,5,2,sierra_new mexico
Nonmetropolitan,new mexico,taos,106,1,1,2,102,172,127,35,10,0,taos_new mexico
Nonmetropolitan,new mexico,torrance,15,0,9,2,4,153,76,55,22,2,torrance_new mexico
Nonmetropolitan,new mexico,union,0,0,0,0,0,20,10,9,1,0,union_new mexico
Nonmetropolitan,new mexico,valencia,153,4,18,15,116,1453,692,618,143,7,valencia_new mexico
Nonmetropolitan,new york,albany,16,0,6,1,9,178,42,130,6,1,albany_new york
Nonmetropolitan,new york,allegany,0,0,0,0,0,2,0,2,0,0,allegany_new york
Nonmetropolitan,new york,broome,63,1,10,11,41,911,229,660,22,1,broome_new york
Nonmetropolitan,new york,cattaraugus,40,0,5,5,30,517,159,335,23,0,cattaraugus_new york
Nonmetropolitan,new york,cayuga,21,1,2,0,18,321,77,232,12,1,cayuga_new york
Nonmetropolitan,new york,chautauqua,20,0,6,7,7,771,239,480,52,2,chautauqua_new york
Nonmetropolitan,new york,chemung,36,0,3,0,33,458,85,357,16,2,chemung_new york
Nonmetropolitan,new york,chenango,24,0,4,0,20,450,92,352,6,1,chenango_new york
Nonmetropolitan,new york,clinton,1,0,0,0,1,15,0,15,0,0,clinton_new york
Nonmetropolitan,new york,columbia,23,1,1,2,19,375,100,271,4,0,columbia_new york
Nonmetropolitan,new york,cortland,19,0,7,3,9,395,74,301,20,2,cortland_new york
Nonmetropolitan,new york,delaware,14,0,7,0,7,127,43,78,6,3,delaware_new york
Nonmetropolitan,new york,dutchess,35,0,4,2,29,691,181,486,24,1,dutchess_new york
Nonmetropolitan,new york,erie,126,0,9,13,104,1054,201,819,34,2,erie_new york
Nonmetropolitan,new york,franklin,0,0,0,0,0,0,0,0,0,0,franklin_new york
Nonmetropolitan,new york,fulton,5,0,2,1,2,397,89,298,10,0,fulton_new york
Nonmetropolitan,new york,genesee,46,0,8,4,34,655,143,481,31,4,genesee_new york
Nonmetropolitan,new york,greene,10,0,2,3,5,69,33,30,6,2,greene_new york
Nonmetropolitan,new york,hamilton,0,0,0,0,0,9,5,4,0,0,hamilton_new york
Nonmetropolitan,new york,herkimer,0,0,0,0,0,2,0,2,0,0,herkimer_new york
Nonmetropolitan,new york,jefferson,27,0,1,2,24,250,23,216,11,0,jefferson_new york
Nonmetropolitan,new york,lewis,22,1,0,3,18,232,88,116,28,2,lewis_new york
Nonmetropolitan,new york,livingston,21,0,3,0,18,449,85,350,14,1,livingston_new york
Nonmetropolitan,new york,madison,7,0,2,0,5,250,74,165,11,0,madison_new york
Nonmetropolitan,new york,monroe,204,3,16,60,125,3638,574,2955,109,6,monroe_new york
Nonmetropolitan,new york,montgomery,14,0,0,2,12,272,22,243,7,0,montgomery_new york
Nonmetropolitan,new york,nassau,1420,7,37,696,680,13160,2054,10293,813,119,nassau_new york
Nonmetropolitan,new york,niagara,65,0,9,12,44,1244,354,800,90,5,niagara_new york
Nonmetropolitan,new york,oneida,20,1,3,4,12,476,143,314,19,6,oneida_new york
Nonmetropolitan,new york,onondaga,199,2,37,42,118,2308,433,1793,82,9,onondaga_new york
Nonmetropolitan,new york,ontario,68,0,15,12,41,969,212,738,19,2,ontario_new york
Nonmetropolitan,new york,orange,6,0,0,0,6,35,0,32,3,0,orange_new york
Nonmetropolitan,new york,orleans,19,1,2,2,14,328,108,205,15,0,orleans_new york
Nonmetropolitan,new york,oswego,44,2,6,2,34,583,140,405,38,2,oswego_new york
Nonmetropolitan,new york,otsego,25,1,3,0,21,161,66,87,8,0,otsego_new york
Nonmetropolitan,new york,putnam,25,0,1,3,21,336,81,249,6,1,putnam_new york
Nonmetropolitan,new york,rensselaer,29,0,2,3,24,212,55,149,8,2,rensselaer_new york
Nonmetropolitan,new york,rockland,19,0,1,0,18,27,1,26,0,0,rockland_new york
Nonmetropolitan,new york,saratoga,21,1,1,4,15,1307,258,1030,19,2,saratoga_new york
Nonmetropolitan,new york,schenectady,2,0,0,2,0,13,0,12,1,0,schenectady_new york
Nonmetropolitan,new york,schoharie,0,0,0,0,0,89,36,51,2,0,schoharie_new york
Nonmetropolitan,new york,schuyler,7,0,0,0,7,55,17,34,4,1,schuyler_new york
Nonmetropolitan,new york,seneca,9,1,0,1,7,210,38,165,7,0,seneca_new york
Nonmetropolitan,new york,st. lawrence,27,1,2,0,24,75,15,56,4,0,st. lawrence_new york
Nonmetropolitan,new york,steuben,10,0,4,1,5,212,62,142,8,1,steuben_new york
Nonmetropolitan,new york,suffolk,1947,32,42,748,1125,24948,4343,19429,1176,169,suffolk_new york
Nonmetropolitan,new york,sullivan,25,0,2,3,20,529,111,408,10,5,sullivan_new york
Nonmetropolitan,new york,tioga,12,0,1,1,10,223,70,147,6,2,tioga_new york
Nonmetropolitan,new york,ulster,40,0,4,5,31,347,94,244,9,0,ulster_new york
Nonmetropolitan,new york,warren,49,3,14,5,27,750,134,593,23,1,warren_new york
Nonmetropolitan,new york,washington,30,3,4,1,22,245,65,174,6,0,washington_new york
Nonmetropolitan,new york,wayne,41,0,8,4,29,417,116,284,17,1,wayne_new york
Nonmetropolitan,new york,westchester,25,0,0,2,23,141,10,129,2,-1,westchester_new york
Nonmetropolitan,new york,wyoming,12,0,1,0,11,220,54,161,5,1,wyoming_new york
Nonmetropolitan,new york,yates,7,0,0,0,7,266,91,173,2,1,yates_new york
Nonmetropolitan,north carolina,alamance,94,1,3,4,86,1064,409,596,59,1,alamance_north carolina
Nonmetropolitan,north carolina,alexander,59,3,6,7,43,845,302,507,36,10,alexander_north carolina
Nonmetropolitan,north carolina,anson,34,0,2,4,28,644,311,312,21,3,anson_north carolina
Nonmetropolitan,north carolina,ashe,30,0,3,5,22,431,220,198,13,0,ashe_north carolina
Nonmetropolitan,north carolina,avery,24,0,2,0,22,176,55,113,8,2,avery_north carolina
Nonmetropolitan,north carolina,beaufort,73,0,1,15,57,744,301,420,23,25,beaufort_north carolina
Nonmetropolitan,north carolina,bertie,29,2,4,8,15,326,142,166,18,6,bertie_north carolina
Nonmetropolitan,north carolina,bladen,80,1,1,17,61,1083,481,559,43,11,bladen_north carolina
Nonmetropolitan,north carolina,brunswick,140,0,18,31,91,2079,871,1100,108,6,brunswick_north carolina
Nonmetropolitan,north carolina,buncombe,155,3,15,33,104,2059,891,998,170,10,buncombe_north carolina
Nonmetropolitan,north carolina,burke,97,0,4,18,75,1746,784,893,69,0,burke_north carolina
Nonmetropolitan,north carolina,cabarrus,29,0,2,8,19,1043,383,608,52,4,cabarrus_north carolina
Nonmetropolitan,north carolina,caldwell,65,4,5,13,43,1627,636,930,61,15,caldwell_north carolina
Nonmetropolitan,north carolina,camden,7,0,0,0,7,124,48,75,1,0,camden_north carolina
Nonmetropolitan,north carolina,caswell,52,0,3,4,45,486,173,294,19,5,caswell_north carolina
Nonmetropolitan,north carolina,catawba,176,8,9,25,134,2100,921,1099,80,9,catawba_north carolina
Nonmetropolitan,north carolina,chatham,70,3,10,4,53,932,472,437,23,2,chatham_north carolina
Nonmetropolitan,north carolina,cherokee,31,1,6,0,24,519,202,300,17,4,cherokee_north carolina
Nonmetropolitan,north carolina,chowan,11,0,0,0,11,180,102,74,4,1,chowan_north carolina
Nonmetropolitan,north carolina,clay,16,1,1,0,14,286,103,167,16,2,clay_north carolina
Nonmetropolitan,north carolina,cleveland,39,0,10,25,4,1440,578,798,64,3,cleveland_north carolina
Nonmetropolitan,north carolina,columbus,106,5,7,26,68,1630,809,705,116,17,columbus_north carolina
Nonmetropolitan,north carolina,craven,136,2,12,11,111,1583,818,668,97,5,craven_north carolina
Nonmetropolitan,north carolina,cumberland,538,8,16,112,402,4265,1814,2216,235,43,cumberland_north carolina
Nonmetropolitan,north carolina,currituck,53,2,6,2,43,751,202,522,27,6,currituck_north carolina
Nonmetropolitan,north carolina,dare,36,0,5,3,28,775,222,547,6,2,dare_north carolina
Nonmetropolitan,north carolina,davidson,124,1,8,23,92,2258,1000,1116,142,12,davidson_north carolina
Nonmetropolitan,north carolina,davie,72,1,7,4,60,714,278,404,32,3,davie_north carolina
Nonmetropolitan,north carolina,duplin,175,7,6,10,152,1156,616,477,63,5,duplin_north carolina
Nonmetropolitan,north carolina,durham,55,3,5,12,35,765,350,368,47,2,durham_north carolina
Nonmetropolitan,north carolina,edgecombe,37,1,0,11,25,654,315,306,33,11,edgecombe_north carolina
Nonmetropolitan,north carolina,forsyth,275,3,18,24,230,2748,905,1740,103,11,forsyth_north carolina
Nonmetropolitan,north carolina,franklin,78,0,9,7,62,1148,546,531,71,6,franklin_north carolina
Nonmetropolitan,north carolina,gaston,205,5,6,30,164,1300,494,671,135,20,gaston_north carolina
Nonmetropolitan,north carolina,granville,88,1,6,7,74,968,386,535,47,6,granville_north carolina
Nonmetropolitan,north carolina,greene,48,3,14,9,22,613,297,303,13,1,greene_north carolina
Nonmetropolitan,north carolina,guilford,159,5,13,22,119,1807,747,971,89,22,guilford_north carolina
Nonmetropolitan,north carolina,halifax,125,10,8,20,87,944,475,430,39,12,halifax_north carolina
Nonmetropolitan,north carolina,harnett,267,6,15,28,218,2485,982,1342,161,18,harnett_north carolina
Nonmetropolitan,north carolina,haywood,102,0,8,5,89,867,393,433,41,4,haywood_north carolina
Nonmetropolitan,north carolina,henderson,90,1,12,21,56,1351,556,697,98,1,henderson_north carolina
Nonmetropolitan,north carolina,hertford,23,0,2,4,17,287,131,141,15,3,hertford_north carolina
Nonmetropolitan,north carolina,hoke,43,0,2,16,25,962,698,216,48,13,hoke_north carolina
Nonmetropolitan,north carolina,iredell,165,1,11,20,133,1854,752,967,135,11,iredell_north carolina
Nonmetropolitan,north carolina,jackson,118,0,18,3,97,785,377,378,30,6,jackson_north carolina
Nonmetropolitan,north carolina,johnston,108,3,19,12,74,2425,899,1356,170,5,johnston_north carolina
Nonmetropolitan,north carolina,lee,37,0,3,8,26,667,150,444,73,2,lee_north carolina
Nonmetropolitan,north carolina,lenoir,113,0,11,11,91,1015,379,597,39,10,lenoir_north carolina
Nonmetropolitan,north carolina,lincoln,87,0,2,14,71,1420,537,832,51,9,lincoln_north carolina
Nonmetropolitan,north carolina,macon,20,0,4,1,15,574,218,325,31,2,macon_north carolina
Nonmetropolitan,north carolina,madison,0,0,0,0,0,238,116,106,16,1,madison_north carolina
Nonmetropolitan,north carolina,martin,36,0,3,1,32,348,151,176,21,2,martin_north carolina
Nonmetropolitan,north carolina,mcdowell,30,1,2,6,21,736,308,389,39,4,mcdowell_north carolina
Nonmetropolitan,north carolina,montgomery,34,2,7,3,22,538,283,240,15,4,montgomery_north carolina
Nonmetropolitan,north carolina,moore,60,2,3,10,45,918,406,452,60,7,moore_north carolina
Nonmetropolitan,north carolina,nash,60,2,4,14,40,614,295,270,49,5,nash_north carolina
Nonmetropolitan,north carolina,new hanover,160,3,19,37,101,2577,603,1881,93,9,new hanover_north carolina
Nonmetropolitan,north carolina,northampton,28,0,1,5,22,487,261,203,23,3,northampton_north carolina
Nonmetropolitan,north carolina,onslow,234,3,37,35,159,3192,954,2065,173,29,onslow_north carolina
Nonmetropolitan,north carolina,orange,31,0,5,8,18,704,417,249,38,4,orange_north carolina
Nonmetropolitan,north carolina,pamlico,27,0,2,6,19,254,96,148,10,0,pamlico_north carolina
