"city (STRING)","areaCode (STRING)","country (STRING)","region (STRING)","locId (STRING)","longitude (STRING)","postalCode (STRING)","metroCode (STRING)","latitude (STRING)","author (STRING)","year (STRING)","month (STRING)","day (STRING)","hour (STRING)","minute (STRING)","text (STRING)","hashtags (STRING)","search_term (STRING)","id (STRING)"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","biancasophia48","2013","3","17","11","7","FUCK I have to read my entire research paper book for tomorrow 😶","","fuck","-8405806008388409552"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","DCchillin41","2013","3","17","10","49","@pazzidomo jack ill fuck u till it hurts","","fuck","-8456919447617281105"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","UhOhItsPookie","2013","3","17","10","38","This morning I got way too excited over the print on my new paper towels.
 
Fuck.","","fuck","3155564939084588043"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","whosnoway","2013","3","17","10","24","Hope vanessa williams birthday party is short and simple not trying to work all day Im tired as fuck","","fuck","-1608935656889784087"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","josephestacion","2013","3","17","10","10","If you go home with somebody, and they don’t have books, don’t fuck ‘em!","","fuck","-8691462159372144259"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","_thatguymarquis","2013","3","17","9","39","Fuck me for procrastinating this haircut :/ ill wait until tomorrow then","","fuck","5362729275465986427"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","sam_espinola","2013","3","17","8","39","If anyone saw what i woke up to, you would be like "" da fuck happened ""","","fuck","-9131294018989776296"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Lovizalindstrom","2013","3","17","7","42","Whaaaat the fuck, no top gear tonight?","","fuck","-4327401947037400302"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","i_m_a_p_ness","2013","3","17","7","5","RT @Kirkwood182: Little trampy porn accounts keep favouriting my tweets, fuck off!","","fuck","-7139476651149033027"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","jasmiraHnH","2013","3","17","6","39","RT @Kirkwood182: Little trampy porn accounts keep favouriting my tweets, fuck off!","","fuck","3081497370752301638"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","siphumelele3","2013","3","17","6","39","RT @angelsneakers: Fuck you demonic ways! RT @siphumelele3: Fuck your ""fuck your church tweets"" tweet. RT @HasToBePrince: Fuck your church tweets","","fuck","527716427852141250"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Kirkwood182","2013","3","17","6","38","Little trampy porn accounts keep favouriting my tweets, fuck off!","","fuck","1430965027486988813"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","angelsneakers","2013","3","17","6","21","Fuck you demonic ways! RT @siphumelele3: Fuck your ""fuck your church tweets"" tweet. RT @HasToBePrince: Fuck your church tweets","","fuck","5012304511214466762"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","ifyouseekleslie","2013","3","17","5","55","When someone doesn't give a fuck.&lt;&lt;&lt;&lt;&lt;","","fuck","-923623019991870476"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","joyuh","2013","3","17","5","30","Mother. Of. God. Holy fuck. What. How. I was only gone for. Who are. Puddles. Substances. I.","","fuck","-2956378504027104558"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","JhordaneM","2013","3","17","4","52","Do I look incapable of pumping my own gas? Fuck out my face.","","fuck","6625133780618169286"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","I_Luv_Fish","2013","3","17","4","9","@OwlPin sabia? Fuck. My Spanish is rusty.","","fuck","5087673602222154565"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","CantCloneHBeezy","2013","3","17","4","7","RT @BitterSweet_JdG: Fuck u love ! I know you can get me killed","","fuck","-8765673170872492811"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","i_heart_louise","2013","3","17","4","7","RT @BitterSweet_JdG: When u fucking someone else just fuck ha like she ain't me #realshit there","#realshit","fuck","7274656577177743581"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","i_heart_louise","2013","3","17","4","7","RT @BitterSweet_JdG: Fuck u love ! I know you can get me killed","","fuck","7384934507572926546"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","BitterSweet_JdG","2013","3","17","4","5","When u fucking someone else just fuck ha like she ain't me #realshit there","#realshit","fuck","-2795078053760995829"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","BitterSweet_JdG","2013","3","17","4","4","Fuck u love ! I know you can get me killed","","fuck","2388819353809000308"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","sososexyjr","2013","3","17","3","55","RT @MzKaTrinaJay: Me too.. Fuck em RT @sososexyjr: I'm always ""rough"" ""aggressive"" or ""tough"" FOH","","fuck","462371678196161959"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","emsisnotonfire","2013","3","17","3","54","RT @danhowls: WHY CANT VIDCON BE IN HOUSTON UGH PLANE TICKETS COST 3000 DOLLARS AND THREE TICKETS COST 400 FUCK MY LIFE I JUST WANT TO MEET DAN AND PHIL","","fuck","6993234758068264366"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","BitterSweet_JdG","2013","3","17","3","54","I swear I thought I was about to go home why they fuck I'm the only one in the car","","fuck","425864490352591762"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","MzKaTrinaJay","2013","3","17","3","53","Me too.. Fuck em RT @sososexyjr: I'm always ""rough"" ""aggressive"" or ""tough"" FOH","","fuck","-7201693865914118600"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","OtisTheGreater","2013","3","17","3","47","Fuck you, Braxton.","","fuck","9019106722022555092"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Her__BUT","2013","3","17","3","44","RT @RealKiddSmyllz: Yeah I'm cocky but guess what ""I Don't Give A Fuck"" (smokey voice)","","fuck","7123051327207489069"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Kid_INS","2013","3","17","3","43","People who say ""THIIIISSSS"". Shut the fuck up. That's so annoying to me","","fuck","-8233812957189607423"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","LulTerri_B","2013","3","17","3","40","Ion Fuck With Boosie . Y'all Be Boosting Tf Outta Him !!!","","fuck","2205856440796584520"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","iridescentghost","2013","3","17","3","32","Fuck those Irish Car Bomb from earlier were really gnarly though","","fuck","-3572082624694160915"
